,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
chinese tomato fish,"1 grass carp, around 1000g (or you can use fillet)","2 large tomatoes, peeled and cut into small cubes","100g oyster mushrooms, hard ends removed and spilt into smaller pieces (you can change it to bean sprouts, cucumber or shitake mushrooms)",4 garlic cloves,"1 cup celery, cut into 1 inch sections","¼ red onion, cut into pieces",a handful coriander,"2 green onions, chopped",4 tablespoons cooking oil (divided),2 tablespoons Chinese cooking wine,1 tablespoon minced ginger,2 spring onion whites,pinch of salt,dash of pepper,1 egg white,"2 tablespoons starch (I use homemade sweet potato starch, you can use cornstarch)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wood ear mushroom salad,15g dried wood ear mushrooms ,a small bunch of coriander,¼ middle size onion,"1 fresh Thai chili pepper, cut into small pieces",1 small pinch of toasted sesame seeds (optional),"2 garlic clove, smashed",1 tablespoon Chinese black vinegar ,1 tablespoon light soy sauce,½ tablespoon sesame oil,pinch of salt if necessary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fried oyster mushroom,"Around 400g oyster mushrooms, remove the tough ends",1 egg,1 cup starch (I use sweet potato starch),a small pinch of salt,a small pinch of black pepper,oil for frying,salt as needed,Sichuan peppercorn powder as needed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beer duck,"Around 1500g (3.3 lb)whole duck, cut into small pieces",1L beer,around 1000g pack moyu,2 tablespoons cooking oil,"1 whole garlic, peeled and keep as whole pieces","1 thumb ginger, sliced","1 scallion white, cut into inch-long pieces",3-4 dried chili peppers,2 tablespoons doubanjiang,3 fresh chili peppers (2 red+1 green),pinch of salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
snow pea leaves stir fried with garlic,"2 garlic cloves, minced",Pinch of salt,1 tablespoon cooking oil,200g (around 7 ounces),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
szechuan fresh pepper chicken,"3 chicken legs, bone removed and cut into small cubes (or you can use 2 boneless chicken breast )",1 tablespoon cornstarch,1 tablespoon Chinese cooking wine,pinch of salt,5-6 fresh long chili (choose hotter ones); cut into small circles,10 -15 dried Szechuan pepper (or as needed ),1 cup oil for frying chicken,1 tablespoon light soy sauce,⅛ teaspoon sugar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kung pao mushroom,3 large king oyster mushrooms (or 4 smaller ones),½ cup of toasted or fried skinless peanuts,"1 scallion (only white part), cut into small pieces around 1cm thick",6-10 dried chili peppers (change the amount according how hot you wish it to be),2 tablespoons cooking oil,15-20 whole Sichuan peppercorns,½ tablespoon dark soy sauce,1 tablespoon light soy sauce,1 teaspoon salt,1 inch ginger grated,1 tablespoon chopped green onion,"2 garlic cloves, finely chopped",1 tablespoon cornstarch,1 tablespoon vinegar,2 tablespoons water,½ teaspoon sugar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chinese eggplants with minced pork,2 long Asian eggplants,pinch of salt,¼ cup minced pork,1 teaspoon minced ginger,½ tablespoon Chinese cooking wine,a small pinch of salt,"3 tablespoons cooking oil, divided","2 garlic cloves, sliced","1 thumb ginger, sliced","2 green onions, white half and green half divided",½ tablespoon doubanjiang (skip this if you prefer a mild taste or double for a hotter version),1 tablespoon light soy sauce,⅛ teaspoon sugar,½ teaspoon sesame oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soy sauce eggs,6-8 eggs,water as needed,a small pinch of salt,1 tablespoon Chinese five spice powder,4 cups water,½ tablespoon sugar,¾ cup low-sodium soy sauce,1 tablespoon rice vinegar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yang chun noodles easy soy sauce noodles,1 serving noodles (around 100g),1 tablespoon soy sauce or to taste,1 teaspoon home rendered lard or ½ teaspoon sesame oil,¼ teaspoon sugar,"1 green onion, finely chopped",Light chicken stock or liquid for cooking the noodles as needed (around 2 cups),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
savory tang yuan,¼ cup ground pork,¼ cup ground shrimp,2 soaked wood ear mushroom,1 fresh shiitake mushroom,¼ cup chopped cabbage,a small pinch of salt,1 tablespoon whisked egg,⅛ teaspoon Chinese five spice powder,2 teaspoons light soy sauce,1 teaspoon minced ginger,1 teaspoon minced green onion,2 cups sticky rice flour+ more for dusting,¼ cup boiling hot water +3/4 cup cold water,chicken broth as needed,chopped green onion,a small pinch of salt,chopped green onion,one mall piece of dried seaweed,2 drops of sesame oil,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016s chinese new year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
west lake beef soup,1 cup minced beef,pinch of salt,1 tablespoon cooking wine,"1 egg white, well whisked","1 thumb ginger, minced","2 shitake mushrooms, chopped",5 cups beef broth (unsalted),5 tablespoons cornstarch+ 5 tablespoons water,⅓ box tender tofu (around 100g),½ teaspoon salt,pinch of salt,"1 small bunch of coriander, minced for garnishing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
egg foo young,2 large eggs,"1 fresh shiitake mushrooms, root removed and cut into shreds","1 small chunk of leftover char siu, shredded",20g bean sprouts,"3 green onions, cut into 1-inch sections (front half)",pinch of salt,2 tablespoons of cooking oil,½ cup chicken broth,2 teaspoons light soy sauce,2 teaspoons corn starch,1 teaspoon sesame oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
quick chow fun vegetarian chow fun,100g to 150g fresh ho fun (or 50g-60g pre-soaked rice noodles),1 small bunch bean sprouts,"2 shitake mushrooms, sliced","1 Bok Choy, minced","2 green onions, cut into 1 inch pieces","1 small bunch Chinese chive (optional), cut into 1 inch pieces","1 garlic clove, minced","1 middle sized egg, well whisked",pinch of salt,dash of pepper,1 tablespoon light soy sauce,1 tablespoon cooking oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
steamed enoki mushrooms,"150g fresh enoki mushrooms, hard ends (around 1 inch) removed and washed",1 teaspoon sesame oil,"1 green onion, chopped for garnishing","5 garlic cloves, minced",1 tablespoon cooking oil,⅛ teaspoon sugar,1 tablespoon light soy sauce,pinch of salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kimchi fried rice,2 cups steamed leftover rice (separated before frying),2 tablespoons kimchi juice,¼ to ⅓ cup minced kimchi,½ tablespoon cooking oil,1 tablespoon light soy sauce,2 green onions (white part and green part separated and chopped),toasted sesame seeds for garnishing (optional),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bean thread noodles salad,1 small bunch bean thread noodles (around 50g),¼ cup shredded carrots,"around 100g spinach, hard roots removed and cut into long pieces",small pinch of salt,1 teaspoon sesame oil,1 tablespoon black vinegar (1/2 tablespoon more for a sourer taste),"2 garlic cloves, smashed or minced",½ tablespoon hot water,¼ teaspoon sugar,½ tablespoon light soy sauce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
homemade kimchi,"1 fresh Napa cabbage, around 1000g",⅓ cup kosher salt,4 tablespoons Korean chili powder,"1 small bunch of Asian chive (or green onion ), hard root removed","¼ middle size radish, cut into small strips","4 garlic cloves, peeled","1 thumb ginger, peeled","¼ middle size apple, peeled","¼ middle size pear, peeled",1 tablespoon fish sauce,1 tablespoon Korean salted shrimp,3 tablespoons glutinous rice powder,1 cup water,1-1.5 tablespoons sugar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
egg flower soup with oyster mushroom,"150g fresh oyster mushroom, hard end removed and then separated","2 green onion, chopped",pinch of salt,3 slices ginger,"1 egg, whisked",1 tablespoon cooking oil,½ teaspoon sesame oil,4 -6 cups water or stock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sweet and sour meatballs,2 cups ground pork,Oil for frying,3 teaspoons cornstarch,pinch of salt,½ tablespoon light soy sauce,½ tablespoon sesame oil,"1 garlic clove, minced","½ inch ginger, minced","1 green onion, minced",2-3 tablespoons warm water,2 tablespoons ketchup,4 tablespoons water,1 teaspoon rice vinegar (both white or black version can work),1 teaspoon sugar,3 teaspoons corn starch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
twice cooked pork recipe,300g pork belly,1 green onion,4-5 Sichuan peppercorn (optional),"1 small bunch garlic sprout (3-4 ones), end removed and cut into pieces",2 long red chili peppers,1 teaspoon cooking oil,"1 inch scallion stalk, cut into small pieces","½ thumb ginger, sliced","2 garlic cloves, sliced",1 tablespoon broad bean paste: doubanjiang,2 teaspoon dou-chi: fermented black beans,1 to 2 teaspoons light soy sauce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
winter melon soup,"1 pound winter melon, remove the skin and cut into cubes",2 large ribs cut into sections,3-4 red dates,1 teaspoon dried shrimp,"Green onion, chopped for garnishing","Coriander, chopped for garnishing","1 thumb ginger, smashed",pinch of salt as needed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hot and dry noodles wuhan noodles,"200g alkaline noodles, light yellow ones (either dried or fresh ones)",around 2 tablespoons sesame oil,2 garlic cloves,2 tablespoons warm water,2 tablespoons sesame paste,1 tablespoon sesame oil,1 tablespoon light soy sauce,½ to 1 tablespoon dark soy sauce,4 tablespoons warm water,⅛ teaspoon Chinese five spice powder,small pinch of salt,pickled radish,green onion,sugar,vinegar (optional),Chinese Chili oil (I use my homemade version),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chinese chicken congee,⅔ cup rice (either long grain or short grain),3 Liter water,pinch of salt,dash of pepper (optional),3-4 green onion,1 thumb ginger,small bunch of coriander (optional),2 chicken thighs+1 cup chicken chunk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
char siu chinese bbq pork,300g pork butt (pork shoulder),"1 thumb ginger, sliced","2 garlic cloves, sliced",2 tablespoons light soy sauce,½ teaspoon Chinese five spice powder,1 tablespoon rice wine (rose rice wine is the best),1 tablespoon oyster sauce,1 red fermented tofu with ½ tablespoon of the sauce,1 tablespoon honey,1 tablespoon honey,½ tablespoon water,½ tablespoon of char siu sauce,sesame oil for brushing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sweet and sour spare ribs,1 pound spare ribs (cut into 1 to 1.5 inch sections),2 tablespoons cooking oil,30-35g mashed rock sugar,2 tablespoons light soy sauce,2 tablespoons cooking wine,3 tablespoon black vinegar,1 teaspoon extra black vinegar,1 star anise (optional),3 ginger slices,4 green onion white parts,hot water as needed,½ tablespoon white sesame seed for garnishing,Spring onion for garnishing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beef ho fun noodle soup,"500g fresh ho fun noodle (if you are using dried ones, pre-soak 300g until soft)","1 pound beef brisket, cut into middle size chunks",2 tablespoons cooking oil,"3 green onions, whites and green part chopped separately","1 thumb ginger, sliced","2 garlic cloves, sliced",2 tablespoons light soy sauce,3-4 L clean water,Pinch of salt,"Coriander, chopped for topping",1 head leafy vegetable,2-3 star anises,1 bay leave,1 teaspoon cloves,1 bark cinnamon,¼ teaspoon Sichuan peppercorn,¼ teaspoon fennel seeds,1 nutmeg,1 cardamom,,,,,,,,,,,,,,,,,,,,,,,,,,,
chinese rice cake bai tang gao,250g rice flour (2 cups+2 tablespoon),500ml water,5g yeast+20ml warm water (under 40 degree C),110-150g sugar,"several drops of oil (corn oil, around ⅛ teaspoon)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
siu mai recipe shao mai with sticky rice,1 and ½ cup glutinous rice,48 dumpling wrappers,1 cup minced pork,pinch of salt,1 teaspoon chopped ginger,1 tablespoon light soy sauce,2 teaspoons cornstarch,8-10 dried shiitake mushrooms (soaked with hot water),"Half of a carrots, diced",2-3 tablespoon oil,pinch of salt,1 tablespoon dark soy sauce,1 teaspoon sugar,liquid for soaking the mushrooms (around ½ cup),another ½ cup water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
steamed rice cake,250g water milled rice flour,50g plain flour,120g to 150g sugar,210ml-220ml hot water,5g instand yeast,Oil for brushing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beef chow mein,"Three halves of bell pepper, different color and cut into shreds","1 Cup flank steak, cut into strips",8 oz. fresh egg noodles,"1 middle size onion, shredded","2 cloves garlic, chopped",3 tablespoons cooking oil,½ tablespoon light soy sauce,a small dash of ground pepper,½ tablespoon oyster sauce,1 teaspoon cornstarch,1 teaspoon sesame oil,1 tablespoon light soy sauce,1 tablespoon shaoxing wine,1 teaspoon sesame oil,pinch of sugar,1 tablespoon oyster sauce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chinese egg noodles handmade version,2 cups of all-purpose flour,"2 middle sized egg, whisked",pinch of salt,50-60ml water,flour or cornstarch for dusting and coating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beef fried rice,4 cups of leftover rice,3 tablespoons beef tallow or vegetable oil,"2 eggs, whisked","1 medium carrots, peeled and diced","1 small red onion, diced",2 green onions,1 teaspoon minced ginger,1 fresh Thai pepper (optional),1 tablespoon light soy sauce,"1 clove garlic, minced",pinch of salt,½ cup shredded beef,a tiny pinch of salt,1 tablespoon starch,1 tablespoon light soy sauce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glass noodles stir fry with shredded cabbage,"Half of a cabbage, shredded",1 small bunch of glass noodles(the one I am using is similar to this one),1 green onion,"2 cloves garlic, sliced",2 slices of ginger,2 dried chili pepper,8-10 whole Sichuan peppercorn seeds (optional),1 tablespoon cooking oil,1 and ½ tablespoon light soy sauce or as needed,Pinch of salt,Pinch of sugar (optional),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
red bean paste pancake,Sweet red bean paste direction of homemade version,Oil for brushing,1 and ½ cup all-purpose flour,100ml hot water (over 90 degree C)+40ml cold water,½ teaspoon of oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ants climbing a tree,2 brunches of mung bean vermicelli,1 cup minced beef or pork,pinch of salt,1 tablespoon cooking oil,1 tablespoon Doubanjiang,1 tablespoon soy sauce,1 teaspoon shallot white (white part and green part minced separately),"2 cloves garlic, minced",1 teaspoon minced ginger,1 teaspoon sugar,2 cups water or chicken stock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
enoki mushroom wrapped by bacon,"200g golden needle mushroom, tough ends removed","Package of bacon (contains 5 slices), cut into halves",Toothpicks as needed,½ tablespoon cooking oil,Ground pepper or cumin powder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eggplants and green beans,"100g green beans, trimmed and cut into halves",2 long eggplants cut into strips,Pinch of salt,"4 cloves garlic, minced",2 fresh chili peppers (or you can use dried red pepper),3 green onions,2 tablespoons light soy sauce,4 tablespoons cooking oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
biang biang mian biang biang noodles,300g all-purpose flour,2g salt,130ml to 140ml water,2 tablespoons chili powder+pinch of salt,2 tablespoons light soy sauce +2 tablespoon vinegar,"2 garlic clove, minced","2 green onion, minced",green vegetable for blanching,2 tablespoons vegetable cooking oil,oil for brushing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rice stick noodles stir fry,"1 bunch of rice stick noodles around 200g (dried version, if you cannot find this in local store, you can use this one from amazon)",1 cup of shredded chicken (either breast or leg),1 cup of celery,"1 red pepper, cut into pieces","2 cloves garlic, sliced",1 green onion,pinch of salt,½ tablespoon light soy sauce,½ tablespoon Laoganma Dou-chi chili sauce (or other chili sauces ),1 tablespoon cooking oil,toasted sesame seeds (optional),½ tablespoon light soy sauce,½ tablespoon oyster sauce,pinch of ground pepper,1 tablespoon cornstarch,1 tablespoon cooking wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chinese tea eggs marbled eggs,5 to 6 eggs,Water as needed,1 tablespoon loose tea leaves or 2 tea bags,1 tablespoon light soy sauce +1 tablespoon dark soy sauce,1 tablespoon rock sugar,3 pieces star anises,1 cinnamon stick,1 teaspoon Sichuan peppercorn,3 slices of ginger,3 bay leaves,½ teaspoon salt or as needed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
roasted mantou slices,3 large Mantou,"1 teaspoon mixed spices (mixed with chili powder, cumin powder and a small pinch of salt)",oil for brushing,sesame paste or fermented tofu (optional) Or you can use other paste texture seasonings,½ teaspoon homemade Chinese chili oil,1 clove garlic/smashed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
snow skin mooncake video recipe with custard filling,⅓ cup of glutinous rice flour for coating,1 and ½ tablespoons custard powder,½ cup wheat starch+2 tablespoons cake flour,100ml milk,2 tablespoons unsalted butter (30grams),½ cup granulated sugar (60 grams),2 eggs (100g) or 1 large egg+ another yolk (whisked),45g glutinous rice flour,35g rice flour (water milled version),20g wheat starch,40g sugar or sugar powder,185g milk or unsweetened coconut milk,18g vegetable oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
liangpi cold skin noodles,2 cups all-purpose flour,150ml water with 10ml more for adjusting,pinch of salt,shredded cucumber as needed,Blanched bean sprouts as needed,1 tablespoon light soy sauce,1 tablespoon black vinegar,½ tablespoon sesame oil,1 smashed garlic+1 tablespoon water,Chili oil to taste,Fresh coriander leaves for decorating (or blanched celery leaves ),1 cup vegetable cooking oil,50g chili pepper powder,1 small pinch of salt,1 tablespoon toasted sesame seeds,2 star anises,2 bay leaves,2 slices of ginger,10 Sichuan peppercorns,1 small piece of Chinese cinnamon bark,2 teaspoons black vinegar,,,,,,,,,,,,,,,,,,,,,,,,,
chrysanthemum tea with goji berry,3-4 dried chrysanthemum tea flower,1 teaspoon goji berry,rock sugar or sweetener,Or you can use honey with lemon as sweetener,1+1/2 cup of hot water above 80 degree C,Peppermint for decorating (optional),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chinese cabbage potstickers,Around 60 wrappers or homemade dumpling wrappers,"500g pork (slightly more than 1 pound), with lean and fat and finely minced; you can use ground pork too",500g Chinese cabbage or more if you love to have more vegetables,1 tablespoon salt for marinating the cabbage,1 tablespoon oil for frying the potstickers,Chopped green onion for garnishing,Toasted black sesame for garnishing,pinch of salt,1 tablespoon light soy sauce,1 tablespoon oyster sauce,dash of pepper,1 tablespoon minced ginger,1 tablespoon minced green onion,½ tablespoon sesame oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
honey lemon tea,500g honey or as needed,"500g lemon, sliced",salt for washing the lemon,a large air-tight jar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
braised noodles with green beans,400g fresh noodles (around 1 pound),"100g pork belly, sliced","2 cloves garlic, sliced",2 dried chilies (I skipped but optional in case you want it to be slightly spicy),300g green beans (you can adjust based on personal preference),oil if you are using other part of pork instead of pork belly,"1 thumb ginger, minced","2 green onions, cut into pieces",1 tablespoon light soy sauce,½ tablespoon dark soy sauce,pinch of salt,¼ teaspoon sugar,2 cups water (or slightly more if needed),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pickled cucumber with soy sauce and vinegar,"Around 500g fresh cucumbers, tenders one are highly recommended",100ml light soy sauce,50ml Chinese black vinegar,70ml clean water,4 slices of ginger,3 cloves garlic,sesame seeds and sesame oil for serving (optional),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chinese scallion pancake simplified version,2 cups all-purpose flour (measure after shifting),420-440 ml water,around 1 cup finely chopped scallion (wash and drain well),pinch of salt as needed,⅛ teaspoon Chinese five spice powder (optional),vegetable oil for frying,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skinny chinese pan fried fish,"One grass carp around 1000g, remove head and tail (you can ask your batcher to help)",4 dried chili pepper,"3 cloves garlic, minced","1 stalk scallion, minced",¼ teaspoon white sesame seeds,1 tablespoon cooking oil,1 tablespoon soy sauce,¼ teaspoon sesame oil,⅛ teaspoon sugar,2 tablespoons cooking wine,¼ teaspoon whole Sichuan peppercorn seeds (optional),1 and ½ teaspoon salt,"2 stalks scallion, minced","1 thumb ginger, minced",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oyster beef with chinese broccoli,"1 and ½ cup beef slices, lean part and no fat","1 small bunch Chinese broccoli, tough skin removed and drained well","2 teaspoons sesame oil, divided",2 tablespoon cooking oil,1 tablespoon oyster sauce,2 ginger slices,2 tablespoons starch,1 tablespoon oyster sauce,a small pinch of salt,1 tablespoon Chinese cooking wine,Dash of black pepper,¼ teaspoon sugar,1 teaspoon oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
minced pork and tofu fritters,1 and ½ cup minced pork,100g firm tofu (around 1 cup in volume),1 tablespoon minced green onion,1 teaspoon minced ginger,1 tablespoon oyster sauce,small pinch of salt if necessary,1 tablespoon cooking oil,¼ teaspoon sugar,"2 cloves garlic, minced",1 teaspoon minced green onion,1 teaspoon minced ginger,½ tablespoon light soy sauce,¼ teaspoon sesame oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
white cut chickenchinese poached chicken,1 chicken around 2 pound,4 ginger slices,2 green onions make knots,1 tablespoon cooking wine,"¼ teaspoon Sichuan peppercorn seeds (optional, I added this for personal habit)",sesame oil for brushing,coriander for decoration,2 tablespoon grated ginger,½ cup finely chopped green part scallion,1 tablespoon finely chopped coriander stems,"4 scallion whites, cut into pieces",2-3 tablespoons cooking oil,Pinch of salt,2 tablespoons broth for poaching the chicken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
water chestnut cake,125g water chestnut flour,5 fresh water chestnut or you can use canned one too,"2 slabs of sugar pieces (around 190g, this can be replaced by brown sugar or white sugar)",700ml water (150ml for soaking + 550ml for sugar water),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
quick chow mein,200g instant noodles,2 cups shredded cabbage,"2 garlic cloves, minced",1 tablespoon soy sauce,1 teaspoon sesame oil,1 tablespoon cooking oil,½ teaspoon sugar,1 tablespoon Lao Gan Ma black bean chili sauce,small pinch of salt if needed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
red braised pig trotter,"2 pig trotters, remove the hair and cut into bite size chunks (resort to batcher)",½ tablespoon ginger slices,water as needed,1 green onion,5 sichuan peppercorn seeds,2 tablespoons cooking wine,1 tablespoon crystal sugar,1 tablespoon cooking oil,2 Dried chili pepper,5 ginger slices,2 green onion,½ teaspoon Sichuan peppercorn,2 bay leaves,½ tablespoon star anise,1 teaspoon salt,1 tablespoon light soy sauce,1 teaspoon dark soy sauce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cocoa steamed buns and dried cranberry buns,1 and ½ cup all-purpose flour (whisk flour before measuring),2 tablespoons granulated sugar,1 teaspoon instant yeast (can be increased to 1 and ½ teaspoon in winter),½ cup clean water,2 teaspoons oil (optinal),1g red kojic rice powder or just a very small drop of red food coloring,2 tablespoons dried cranberries,1 and ½ cup all-purpose flour (whisk flour before measuring),2 tablespoons granulated sugar,1 teaspoon instant yeast (can be increased to 1 and ½ teaspoon in winter),½ cup clean water,2 teaspoons oil (optional),1 and ½ tablespoon unsweetened cocoa powder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chinese coriander salad,"1 bunch fresh coriander, around 150g","¼ middle size red onion, shredded",1 tablespoon Chinese red oil or as needed,"1 garlic clove, mashed",1 tablespoon sesame oil,½ tablespoon black vinegar,1 teaspoon sugar (optional),2 tablespoons light soy sauce,pinch of salt if needed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iced pu erh tea,2L clean water,30g brown sugar,1 tablespoon rip pu-erh tea,ice cubes for serving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
red oil wonton,30 wonton wrappers,1 cup minced pork,Pinch of salt,1 tablespoon minced ginger,1 tablespoon minced green onion,1 small size egg,1 tablespoon oyster sauce,3-6 tablespoons Szechuan style chili oil depends how spicy you want,2 tablespoons black vinegar,1 tablespoon sesame oil,2 tablespoon cooking wine,½ teaspoon sugar,pinch of salt,1 tablespoon light soy sauce,"2 garlic cloves, smashed",½ tablespoon minced green onion,Minced coriander,1 cup water from cooking wonton,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chinese tea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chinese style butter cookie with black sesame,Making around 15 cookies,80g unsalted butter (room temperature),"30g icing sugar, sifted",1 egg yolk,Really small pinch of salt,25ml whipping cream,½ teaspoon vanilla extract (optional),100g low-gluten flower (cake flour or self-raising flour),1 and ½ tablespoon toasted black sesame seeds or more as needed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
red bean soup with taro balls,1 cup red bean (pre-soaked),1 Liter water,⅓ cup sugar,small pinch of salt,around 300g peeled taro (1 medium size taro),100g tapioca starch (around 160ml),water as needed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chinese red bean paste cookie,100g cake flour (around 180ml),100g red bean paste,"50g unsalted butter, soften in room temperature",25g icing sugar,2 drops of vanilla extract,1 and ½ tablespoon of whisked egg,Sesame seeds for decoration,Extra whisked egg for brushing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
szechuan cold noodles,200g (around 8 OZ.) fresh noodles or thin round noodles,"1 English cucumber, peeled and shredded (You can use bean sprout too)",2 teaspoons sesame oil or olive oil,3 teaspoons sugar,1 teaspoon vinegar,½ tablespoon sesame paste,a small pinch of salt,1 tablespoon light soy sauce,1 tablespoon Szechuan style chili oil (or as needed),"3 garlic cloves, smashed",fried soy beans (optional),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
winter melon tea,1500g winter melon,250g brown sugar powder,50g rock sugar,Clean water,Ice cubes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chinese pork bun,2 cups all-purpose flour+1/2 cup more for dusting,1 and ½ teaspoon instant yeast,150ml water,2 cups ground pork,2 cups finely chopped carrots,1 cup finely chopped celery (optional),"2 garlic cloves, finely chopped",2 tablespoons of cooking oil,pinch of salt,1 teaspoon sesame oil,pinch of salt,1 tablespoon oyster sauce,1 tablespoon light soy sauce,¼ teaspoon Chinese five spice powder,½ tablespoon finely chopped ginger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pork fried rice,4 cups leftover rice,2 middle sized egg,½ cup peas,1 cup diced Char siu pork,pinch of salt,pinch of pepper,1 tablespoon oil,½ tablespoon light soy sauce,"2 green onions, chopped",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
di san xian chinese sauteed potato eggplants and green peppers,1 large eggplant,"2 middle-sized potatoes, peeled",2 green peppers,1 fresh Thai pepper for decoration and color balance,"½ thumb ginger, chopped","1 green onion, chopped","1 garlic clove, chopped",2 tablespoons light soy sauce,1 teaspoon sugar or as needed,Pinch of salt,wet starch (mix 1 tablespoon cornstarch with 2 tablespoons water),oil for frying (around 1 to 2 cups depending on your cooking ware),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chinese mango pudding,3 middle size mature mangoes(fresh mango cubes 1 pound),"2 packet unflavored gelatin sheets or (10g ), see note 1 if you want to use gelatin powder",160ml milk or coconut milk,"60ml heavy cream, chilled",½ cup granulated sugar or more if needed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
