,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92
muri ghonto,big fish head of rui(rohu) or katol (catla),mustard oil or cooking oil,basmati rice,salt,turmeric powder,tomato,potato,medium onion,ginger garlic paste,green chilies,garam masala,bay leaves,cumin seed,big fish head of rui(rohu) or katol (catla),mustard oil or cooking oil,basmati rice,salt,turmeric powder,tomato,potato,medium onion,ginger garlic paste,green chilies,garam masala,bay leaves,cumin seed,big fish head of rui(rohu) or katol (catla),mustard oil or cooking oil,basmati rice,salt,turmeric powder,tomato,potato,medium onion,ginger garlic paste,green chilies,garam masala,bay leaves,cumin seed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
masala vadai,channa dal,toor dal,red chillies,green chillies,cumin seeds,small cinnamon stick,clove,a pinch of asafetida,onion,coriander leaves,curry leaves,salt to taste,oil to fry,channa dal,toor dal,red chillies,green chillies,cumin seeds,small cinnamon stick,clove,a pinch of asafetida,onion,coriander leaves,curry leaves,salt to taste,oil to fry,channa dal,toor dal,red chillies,green chillies,cumin seeds,small cinnamon stick,clove,a pinch of asafetida,onion,coriander leaves,curry leaves,salt to taste,oil to fry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baingan bhaji,brinjals/eggplant (medium size ),water,kala masala (goda masala),garam masala,garlic cloves crushed,ground nut powder,turmeric powder,mustard seeds,cumin seeds,asafoetida,jaggery,cooking oil,finely chopped coriander leaves,brinjals/eggplant (medium size ),water,kala masala (goda masala),garam masala,garlic cloves crushed,ground nut powder,turmeric powder,mustard seeds,cumin seeds,asafoetida,jaggery,cooking oil,finely chopped coriander leaves,brinjals/eggplant (medium size ),water,kala masala (goda masala),garam masala,garlic cloves crushed,ground nut powder,turmeric powder,mustard seeds,cumin seeds,asafoetida,jaggery,cooking oil,finely chopped coriander leaves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rash bara,uradh dal (kalai dal),sugar,cooking oil,water,uradh dal (kalai dal),sugar,cooking oil,water,uradh dal (kalai dal),sugar,cooking oil,water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
phool kopir dalna,cauliflower,big tomato,big potatoes,mustard oil or cooking oil,green peas,salt,turmeric powder,ginger paste,cumin seeds,bay leaves,green chili,sugar,cauliflower,big tomato,big potatoes,mustard oil or cooking oil,green peas,salt,turmeric powder,ginger paste,cumin seeds,bay leaves,green chili,sugar,cauliflower,big tomato,big potatoes,mustard oil or cooking oil,green peas,salt,turmeric powder,ginger paste,cumin seeds,bay leaves,green chili,sugar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dalia kheer,daliya/cracked wheat,rice,jaggery,ghee/clarified butter,grated coconut,poppy seeds roasted,almond chopped,raisins,cashew nuts,water,green cardamom powder,daliya/cracked wheat,rice,jaggery,ghee/clarified butter,grated coconut,poppy seeds roasted,almond chopped,raisins,cashew nuts,water,green cardamom powder,daliya/cracked wheat,rice,jaggery,ghee/clarified butter,grated coconut,poppy seeds roasted,almond chopped,raisins,cashew nuts,water,green cardamom powder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sweet corn and moong dal pakoda,split yellow gram/ moong dal,flattened rice /thick poha,sweet corns,green chili,inch ginger chopped,garlic cloves,cumin seeds,turmeric powder,sugar,tomato ketchup,salt to taste,coriander leaves chopped (optional),oil for deep frying,split yellow gram/ moong dal,flattened rice /thick poha,sweet corns,green chili,inch ginger chopped,garlic cloves,cumin seeds,turmeric powder,sugar,tomato ketchup,salt to taste,coriander leaves chopped (optional),oil for deep frying,split yellow gram/ moong dal,flattened rice /thick poha,sweet corns,green chili,inch ginger chopped,garlic cloves,cumin seeds,turmeric powder,sugar,tomato ketchup,salt to taste,coriander leaves chopped (optional),oil for deep frying,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stuffed karela bhaji,bitter gourd,finely chopped onion,peanut powder,sesame seed powder,crushed garlic cloves,mustard seeds,cumin seeds,asafetida,red chili powder,garam masala,kala/black masala,sugar,salt,oil,coriander leave can be added for taste,bitter gourd,finely chopped onion,peanut powder,sesame seed powder,crushed garlic cloves,mustard seeds,cumin seeds,asafetida,red chili powder,garam masala,kala/black masala,sugar,salt,oil,coriander leave can be added for taste,bitter gourd,finely chopped onion,peanut powder,sesame seed powder,crushed garlic cloves,mustard seeds,cumin seeds,asafetida,red chili powder,garam masala,kala/black masala,sugar,salt,oil,coriander leave can be added for taste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sweet corn soup,water,sweet corn grains,cabbage shredded,carrot grated,red or green chili sauce,white vinegar,black pepper powder,sugar,corn flour,butter,french beans chopped,cauliflower chopped,ginger garlic paste,salt,water,sweet corn grains,cabbage shredded,carrot grated,red or green chili sauce,white vinegar,black pepper powder,sugar,corn flour,butter,french beans chopped,cauliflower chopped,ginger garlic paste,salt,water,sweet corn grains,cabbage shredded,carrot grated,red or green chili sauce,white vinegar,black pepper powder,sugar,corn flour,butter,french beans chopped,cauliflower chopped,ginger garlic paste,salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sweet poori pakatali poori,maida flour,semolina,ghee,saffron syrup,lemon juice,milk,water,salt,cooking oil,maida flour,semolina,ghee,saffron syrup,lemon juice,milk,water,salt,cooking oil,maida flour,semolina,ghee,saffron syrup,lemon juice,milk,water,salt,cooking oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prawns patties,medium sized prawns cleaned and deveined,medium sized chopped onion,ginger garlic paste,turmeric,red chili powder,corriander powder,garam masala powder,jaggery powder,oil,salt,tomato ketchup,pastry 5x5 sheets thawed,vinegar,medium sized prawns cleaned and deveined,medium sized chopped onion,ginger garlic paste,turmeric,red chili powder,corriander powder,garam masala powder,jaggery powder,oil,salt,tomato ketchup,pastry 5x5 sheets thawed,vinegar,medium sized prawns cleaned and deveined,medium sized chopped onion,ginger garlic paste,turmeric,red chili powder,corriander powder,garam masala powder,jaggery powder,oil,salt,tomato ketchup,pastry 5x5 sheets thawed,vinegar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vegetable patties,medium sized potato,medium sized chopped onion,salt,green peas,turmeric,cumin powder,corriander powder,aamchur powder,oil,chopped garlic,garam masala powder,5x5 pastry sheets,medium sized potato,medium sized chopped onion,salt,green peas,turmeric,cumin powder,corriander powder,aamchur powder,oil,chopped garlic,garam masala powder,5x5 pastry sheets,medium sized potato,medium sized chopped onion,salt,green peas,turmeric,cumin powder,corriander powder,aamchur powder,oil,chopped garlic,garam masala powder,5x5 pastry sheets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
paalakova,full fat milk ( whole milk),sugar,ghee,full fat milk ( whole milk),sugar,ghee,full fat milk ( whole milk),sugar,ghee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aratikaya ava pettina kura,8 inch plantain,mustard seeds,turmeric,mustard or sesame oil,salt to taste,urad dal,curry leaves spring,green chili,inch piece of ginger,grated coconut,idli rava(optional),8 inch plantain,mustard seeds,turmeric,mustard or sesame oil,salt to taste,urad dal,curry leaves spring,green chili,inch piece of ginger,grated coconut,idli rava(optional),8 inch plantain,mustard seeds,turmeric,mustard or sesame oil,salt to taste,urad dal,curry leaves spring,green chili,inch piece of ginger,grated coconut,idli rava(optional),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prawns stuffed papad rolls,shrimp (cleaned and minced),chopped onion,desiccated coconut,oil,minced garlic,turmeric,corriander powder,salt,garam masala powder,papad,oil to deep fry,tamarind paste,shrimp (cleaned and minced),chopped onion,desiccated coconut,oil,minced garlic,turmeric,corriander powder,salt,garam masala powder,papad,oil to deep fry,tamarind paste,shrimp (cleaned and minced),chopped onion,desiccated coconut,oil,minced garlic,turmeric,corriander powder,salt,garam masala powder,papad,oil to deep fry,tamarind paste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nimbu soda,sugar,salt,lime,glasses club soda,sugar,salt,lime,glasses club soda,sugar,salt,lime,glasses club soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sarvapindi,rice flour,chana dal,roasted peanuts,ginger garlic paste,oil,red chili powder(adjust as per spice level needed),salt as per taste,medium onion chopped,green chili minced per spice level desired,spring curry leaves chopped,rice flour,chana dal,roasted peanuts,ginger garlic paste,oil,red chili powder(adjust as per spice level needed),salt as per taste,medium onion chopped,green chili minced per spice level desired,spring curry leaves chopped,rice flour,chana dal,roasted peanuts,ginger garlic paste,oil,red chili powder(adjust as per spice level needed),salt as per taste,medium onion chopped,green chili minced per spice level desired,spring curry leaves chopped,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bhanjani chakali,"bhajani flour(bhajani is made from chana dal,rice, moog dal, udad dal, flatted rice , all roasted and mixed together and ground to flour )",red chili powder,salt,cooking oil,turmeric powder or haldi,coriander powder or dhania,cumin powder or jeera,sesame seeds,ajwain,water,cooking oil ( for deep frying),"bhajani flour(bhajani is made from chana dal,rice, moog dal, udad dal, flatted rice , all roasted and mixed together and ground to flour )",red chili powder,salt,cooking oil,turmeric powder or haldi,coriander powder or dhania,cumin powder or jeera,sesame seeds,ajwain,water,cooking oil ( for deep frying),"bhajani flour(bhajani is made from chana dal,rice, moog dal, udad dal, flatted rice , all roasted and mixed together and ground to flour )",red chili powder,salt,cooking oil,turmeric powder or haldi,coriander powder or dhania,cumin powder or jeera,sesame seeds,ajwain,water,cooking oil ( for deep frying),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chamadumpa pulusu,taro roots(chama dumpalu),onions chopped,tomatoes chopped,tamarind paste,red chili powder,turmeric,salt to taste,oil,methi powder(fenugreek seeds powder),ginger garlic paste,garam masala powder,curry leaves stem,mustard seeds,cumin seeds,taro roots(chama dumpalu),onions chopped,tomatoes chopped,tamarind paste,red chili powder,turmeric,salt to taste,oil,methi powder(fenugreek seeds powder),ginger garlic paste,garam masala powder,curry leaves stem,mustard seeds,cumin seeds,taro roots(chama dumpalu),onions chopped,tomatoes chopped,tamarind paste,red chili powder,turmeric,salt to taste,oil,methi powder(fenugreek seeds powder),ginger garlic paste,garam masala powder,curry leaves stem,mustard seeds,cumin seeds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pesarakattu,moong dal,green chili minced,cilantro leaves,cumin seeds,mustard seeds,inch ginger piece minced,garlic cloves minced,red chili,curry leaves spring,ghee,turmeric,juice from half a lemon or 1/2 teaspoon tamarind paste,salt as per taste,moong dal,green chili minced,cilantro leaves,cumin seeds,mustard seeds,inch ginger piece minced,garlic cloves minced,red chili,curry leaves spring,ghee,turmeric,juice from half a lemon or 1/2 teaspoon tamarind paste,salt as per taste,moong dal,green chili minced,cilantro leaves,cumin seeds,mustard seeds,inch ginger piece minced,garlic cloves minced,red chili,curry leaves spring,ghee,turmeric,juice from half a lemon or 1/2 teaspoon tamarind paste,salt as per taste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sabudana vada,sabudana( tapioca),boiled and mashed potato,peanut powder,ginger & green chili paste,salt to taste,sugar,cooking oil,sabudana( tapioca),boiled and mashed potato,peanut powder,ginger & green chili paste,salt to taste,sugar,cooking oil,sabudana( tapioca),boiled and mashed potato,peanut powder,ginger & green chili paste,salt to taste,sugar,cooking oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shankarpali,maida or all purpose flour,sugar,ghee or clarified butter,water,salt,oil to deep fry,maida or all purpose flour,sugar,ghee or clarified butter,water,salt,oil to deep fry,maida or all purpose flour,sugar,ghee or clarified butter,water,salt,oil to deep fry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
methi ajwain para,maida,ajwain,kashmiri chili powder,salt,dry fenugreek leaves/ kasuri methi,oil to deep fry,oil,water to mix,maida,ajwain,kashmiri chili powder,salt,dry fenugreek leaves/ kasuri methi,oil to deep fry,oil,water to mix,maida,ajwain,kashmiri chili powder,salt,dry fenugreek leaves/ kasuri methi,oil to deep fry,oil,water to mix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ragi idli,urad dal (soaked overnight),ragi/finger millet flour,salt to taste,poha (soaked overnight),water,urad dal (soaked overnight),ragi/finger millet flour,salt to taste,poha (soaked overnight),water,urad dal (soaked overnight),ragi/finger millet flour,salt to taste,poha (soaked overnight),water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ven pongal katte pongal,sona masoori rice or basmati rice,moong dal,black peppercorns,spring curry leaves,ghee(clarified butter),cumin seeds,green chilies slit in half,grated ginger,asafetida,cashews,sona masoori rice or basmati rice,moong dal,black peppercorns,spring curry leaves,ghee(clarified butter),cumin seeds,green chilies slit in half,grated ginger,asafetida,cashews,sona masoori rice or basmati rice,moong dal,black peppercorns,spring curry leaves,ghee(clarified butter),cumin seeds,green chilies slit in half,grated ginger,asafetida,cashews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kothimbir vadi,gram flour or besan,coriander leaves finely chopped,salt to taste,red chili powder,"ginger, garlic, green chili paste",sesame seeds or til,sugar,cooking oil,coriander and cumin powder( dhania and jeera powder),asafetida powder or hing,turmeric  or haldi,rice flour,cumin seeds,soda bi carbornate,water,gram flour or besan,coriander leaves finely chopped,salt to taste,red chili powder,"ginger, garlic, green chili paste",sesame seeds or til,sugar,cooking oil,coriander and cumin powder( dhania and jeera powder),asafetida powder or hing,turmeric  or haldi,rice flour,cumin seeds,soda bi carbornate,water,gram flour or besan,coriander leaves finely chopped,salt to taste,red chili powder,"ginger, garlic, green chili paste",sesame seeds or til,sugar,cooking oil,coriander and cumin powder( dhania and jeera powder),asafetida powder or hing,turmeric  or haldi,rice flour,cumin seeds,soda bi carbornate,water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
masala bhakri,jowar flour,kala masala,salt to taste,oil,fine chopped onions,tomato fine chopped,coriander leaves finely chopped,water,crushed peanuts,jowar flour,kala masala,salt to taste,oil,fine chopped onions,tomato fine chopped,coriander leaves finely chopped,water,crushed peanuts,jowar flour,kala masala,salt to taste,oil,fine chopped onions,tomato fine chopped,coriander leaves finely chopped,water,crushed peanuts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ragada pattice,white peas,finely chopped onion,"ginger, garlic and green chili paste",tomato puree,cooking oil,garam masala,red chili powder,salt to taste,jaggery,potatoes,bread slices,green chili paste,chopped coriander,cumin seeds or jeera,salt to taste,sugar,lemon juice,oil for frying the pattice,white peas,finely chopped onion,"ginger, garlic and green chili paste",tomato puree,cooking oil,garam masala,red chili powder,salt to taste,jaggery,potatoes,bread slices,green chili paste,chopped coriander,cumin seeds or jeera,salt to taste,sugar,lemon juice,oil for frying the pattice,white peas,finely chopped onion,"ginger, garlic and green chili paste",tomato puree,cooking oil,garam masala,red chili powder,salt to taste,jaggery,potatoes,bread slices,green chili paste,chopped coriander,cumin seeds or jeera,salt to taste,sugar,lemon juice,oil for frying the pattice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bharlelya kandyachi bhaji,small size onions,peanut powder,jowar flour,kala masala,garam masala,red chili powder,turmeric powder,salt to taste,jaggery,water,coriander leaves chopped,oil,mustard seeds,,cumin seeds,asafetida powder,turmeric powder,small size onions,peanut powder,jowar flour,kala masala,garam masala,red chili powder,turmeric powder,salt to taste,jaggery,water,coriander leaves chopped,oil,mustard seeds,,cumin seeds,asafetida powder,turmeric powder,small size onions,peanut powder,jowar flour,kala masala,garam masala,red chili powder,turmeric powder,salt to taste,jaggery,water,coriander leaves chopped,oil,mustard seeds,,cumin seeds,asafetida powder,turmeric powder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dosakaya pachadi,apple cucumber/dosakay pieces diced,urad dal,mustard seeds,green chili (adjust as per spice level desired),dry red chili,methi seeds,cumin seeds,pinch of turmeric,salt to taste,tamarind paste,handful chopped cilantro,oil,apple cucumber/dosakay pieces diced,urad dal,mustard seeds,green chili (adjust as per spice level desired),dry red chili,methi seeds,cumin seeds,pinch of turmeric,salt to taste,tamarind paste,handful chopped cilantro,oil,apple cucumber/dosakay pieces diced,urad dal,mustard seeds,green chili (adjust as per spice level desired),dry red chili,methi seeds,cumin seeds,pinch of turmeric,salt to taste,tamarind paste,handful chopped cilantro,oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
goan pomfret curry,pomfret fish cleaned and cut,small onion chopped,grated coconut,water,turmeric,red chili powder,kokum,salt,oil,fenugreek seeds,corriander seeds,pomfret fish cleaned and cut,small onion chopped,grated coconut,water,turmeric,red chili powder,kokum,salt,oil,fenugreek seeds,corriander seeds,pomfret fish cleaned and cut,small onion chopped,grated coconut,water,turmeric,red chili powder,kokum,salt,oil,fenugreek seeds,corriander seeds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aloo gobhi without onion and tomato,cauliflower,medium sized potatoes,green chilli,ginger - garlic paste,turmeric powder,cumin powder,coriander powder,black caraway seeds,curd,curry leaves,oil,cauliflower,medium sized potatoes,green chilli,ginger - garlic paste,turmeric powder,cumin powder,coriander powder,black caraway seeds,curd,curry leaves,oil,cauliflower,medium sized potatoes,green chilli,ginger - garlic paste,turmeric powder,cumin powder,coriander powder,black caraway seeds,curd,curry leaves,oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
punjabi kadhi,curd nicely beaten,gram flour,shahi jeera,onion chopped longitudinally and cut half,turmeric powder,clarified butter (ghee),coriander powder,water,salt as per taste,chopped cilantro,ginger - garlic paste,green chilli slit vertically,oil,curd nicely beaten,gram flour,shahi jeera,onion chopped longitudinally and cut half,turmeric powder,clarified butter (ghee),coriander powder,water,salt as per taste,chopped cilantro,ginger - garlic paste,green chilli slit vertically,oil,curd nicely beaten,gram flour,shahi jeera,onion chopped longitudinally and cut half,turmeric powder,clarified butter (ghee),coriander powder,water,salt as per taste,chopped cilantro,ginger - garlic paste,green chilli slit vertically,oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ragi mudde,finger millet/ragi flour,brown/red/white rice,ghee(optional),salt as per taste,finger millet/ragi flour,brown/red/white rice,ghee(optional),salt as per taste,finger millet/ragi flour,brown/red/white rice,ghee(optional),salt as per taste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kaju karela sabji,bitter gourds,coconut powder,salt,oil,cashew nut pieces,turmeric,red chili powder,garam masala powder,asofetida or hing,tamarind paste,water,bitter gourds,coconut powder,salt,oil,cashew nut pieces,turmeric,red chili powder,garam masala powder,asofetida or hing,tamarind paste,water,bitter gourds,coconut powder,salt,oil,cashew nut pieces,turmeric,red chili powder,garam masala powder,asofetida or hing,tamarind paste,water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stuffed turkey and thanksgiving sides,large turkey (15-18 ) pounds,salt to rub on the turkey,borbon whiskey,cajun spice,tabasco sauce,granny smith apple,button mushrooms,onion,carrot,celery sticks,white bread cubes,chicken broth,beer,red chilli powder,cranberries,orange juice,nutmeg,orange peel grated,brussel sprouts,salt,black pepper,olive oil,can sweet potatoes,cinnamon powder,butter,water,brown sugar,white flour,corn starch,bunch of green asparagus,large turkey (15-18 ) pounds,salt to rub on the turkey,borbon whiskey,cajun spice,tabasco sauce,granny smith apple,button mushrooms,onion,carrot,celery sticks,white bread cubes,chicken broth,beer,red chilli powder,cranberries,orange juice,nutmeg,orange peel grated,brussel sprouts,salt,black pepper,olive oil,can sweet potatoes,cinnamon powder,butter,water,brown sugar,white flour,corn starch,bunch of green asparagus,large turkey (15-18 ) pounds,salt to rub on the turkey,borbon whiskey,cajun spice,tabasco sauce,granny smith apple,button mushrooms,onion,carrot,celery sticks,white bread cubes,chicken broth,beer,red chilli powder,cranberries,orange juice,nutmeg,orange peel grated,brussel sprouts,salt,black pepper,olive oil,can sweet potatoes,cinnamon powder,butter,water,brown sugar,white flour,corn starch,bunch of green asparagus,,,
goan suran masala fry,suran/elephant foot yam,oil,red chili powder,turmeric powder,salt,rava/ samolina,tamarind paste,water,suran/elephant foot yam,oil,red chili powder,turmeric powder,salt,rava/ samolina,tamarind paste,water,suran/elephant foot yam,oil,red chili powder,turmeric powder,salt,rava/ samolina,tamarind paste,water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
palak paratha,wheat flour,yogurt,turmeric powder,red chili powder,garam masala powder,cumin powder,corriander powder,chat masala powder,salt,water,spinach cleaned and chopped,oil,wheat flour,yogurt,turmeric powder,red chili powder,garam masala powder,cumin powder,corriander powder,chat masala powder,salt,water,spinach cleaned and chopped,oil,wheat flour,yogurt,turmeric powder,red chili powder,garam masala powder,cumin powder,corriander powder,chat masala powder,salt,water,spinach cleaned and chopped,oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dudyachi bhaji,pumpkin,desiccated coconut,salt,jaggery,tefla/ schezuan peppers,mustard seeds,oil,asafoetida/hing,water,red chili powder,pumpkin,desiccated coconut,salt,jaggery,tefla/ schezuan peppers,mustard seeds,oil,asafoetida/hing,water,red chili powder,pumpkin,desiccated coconut,salt,jaggery,tefla/ schezuan peppers,mustard seeds,oil,asafoetida/hing,water,red chili powder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 layer dip,can of cooked black beans,ripe avacados,lime,tomatoes,small onion,preserved jalapenos peppers,fresh jalapeno pepper,sour cream,shredded cheese,salt,chopped cilantro,freshly chopped lettuce,can of cooked black beans,ripe avacados,lime,tomatoes,small onion,preserved jalapenos peppers,fresh jalapeno pepper,sour cream,shredded cheese,salt,chopped cilantro,freshly chopped lettuce,can of cooked black beans,ripe avacados,lime,tomatoes,small onion,preserved jalapenos peppers,fresh jalapeno pepper,sour cream,shredded cheese,salt,chopped cilantro,freshly chopped lettuce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cauliflower with white peas,white peas,medium sized cauliflower cut into large pieces,tomatoes,desiccated coconut,sliced onion,turmeric,red chili powder,garam masala powder,coriander powder,chopped cilantro,oil,salt,hing or asafoetida,curry leaves,,,white peas,medium sized cauliflower cut into large pieces,tomatoes,desiccated coconut,sliced onion,turmeric,red chili powder,garam masala powder,coriander powder,chopped cilantro,oil,salt,hing or asafoetida,curry leaves,,,white peas,medium sized cauliflower cut into large pieces,tomatoes,desiccated coconut,sliced onion,turmeric,red chili powder,garam masala powder,coriander powder,chopped cilantro,oil,salt,hing or asafoetida,curry leaves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pudina chutney mint chutney,loosely packed mint leaves,tomatoes diced (2 inch diameter),tamarind paste,peanuts,green chili (adjust as per your spice level),salt to taste,oil,loosely packed mint leaves,tomatoes diced (2 inch diameter),tamarind paste,peanuts,green chili (adjust as per your spice level),salt to taste,oil,loosely packed mint leaves,tomatoes diced (2 inch diameter),tamarind paste,peanuts,green chili (adjust as per your spice level),salt to taste,oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spring dosa,cabbage (cut in thin long strips),carrot (grated),green peppers (thinly cut),salt to taste,cumin seeds,sugar,cooking oil,ginger,coriander leaves(fine chopped),cauliflower( fine chopped),onion (chopped into thin pieces),idli rice,split black beans ( urad dal),split red gram ( tuvar dal),fenugreek seeds ( methi dana),garlic,green chilie (fine chopped),water,cabbage (cut in thin long strips),carrot (grated),green peppers (thinly cut),salt to taste,cumin seeds,sugar,cooking oil,ginger,coriander leaves(fine chopped),cauliflower( fine chopped),onion (chopped into thin pieces),idli rice,split black beans ( urad dal),split red gram ( tuvar dal),fenugreek seeds ( methi dana),garlic,green chilie (fine chopped),water,cabbage (cut in thin long strips),carrot (grated),green peppers (thinly cut),salt to taste,cumin seeds,sugar,cooking oil,ginger,coriander leaves(fine chopped),cauliflower( fine chopped),onion (chopped into thin pieces),idli rice,split black beans ( urad dal),split red gram ( tuvar dal),fenugreek seeds ( methi dana),garlic,green chilie (fine chopped),water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
strawberry phirni,basmati rice,sugar,milk( whole),water,strawberry(puree),green cardamom powder,almond and cashews chopped,ghee,basmati rice,sugar,milk( whole),water,strawberry(puree),green cardamom powder,almond and cashews chopped,ghee,basmati rice,sugar,milk( whole),water,strawberry(puree),green cardamom powder,almond and cashews chopped,ghee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
banana sheera,banana,semolina ( rawa),ghee,sugar,water,green cardmom powder,cashews  & almonds,banana,semolina ( rawa),ghee,sugar,water,green cardmom powder,cashews  & almonds,banana,semolina ( rawa),ghee,sugar,water,green cardmom powder,cashews  & almonds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
