,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
Doodhi Theplas,3/4 cup grated bottle gourd (doodhi / lauki),2 cups whole wheat flour (gehun ka atta),1/2 cup low fat curds  (dahi),1/2 tsp turmeric powder (haldi),1 1/2 tsp chilli powder,1 tsp oil, salt to taste, whole wheat flour (gehun ka atta) for rolling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instant Handva,1/2 tsp oil for greasing,"3/4 cup idli batter , readily available in the market",2 tbsp finely chopped coriander (dhania),1 tbsp curds (dahi), salt to taste,1 tbsp oil,1 tsp mustard seeds ( rai / sarson),1 tsp cumin seeds (jeera),1 tsp fruit salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green Tomato Kadhi,3 cups roughly chopped green tomatoes,1 cup grated coconut,"2 green chillies , roughly chopped",1 tbsp oil,1/2 tsp mustard seeds ( rai / sarson),1/2 tsp cumin seeds (jeera),1/2 tsp asafoetida (hing),7 to 8 curry leaves (kadi patta),1/2 tsp sugar, salt to taste,1/4 cup finely chopped coriander (dhania),,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhatia Kadhi ( Gujarati Recipe),"1 cup toovar (arhar) dal , washed and drained",1/4 cup curds (dahi),1 tbsp besan (bengal gram flour),2 tbsp oil,1 tsp cumin seeds (jeera),1/2 tsp mustard seeds ( rai / sarson),1/4 tsp asafoetida (hing),1/2 tsp fenugreek (methi) seeds,"1 cup ladies finger (bhindi) , cut into 50 mm.  (2"") pieces",1/4 cup sliced radish (mooli),"1 1/2 cups drumsticks , cut into 50 mm.  (2"") pieces","3 to 4 kokum , soaked for 10 minutes and drained",4 tbsp roughly chopped jaggery (gur), salt to taste,1/2 cup thickly sliced bananas,2 tbsp finely chopped coriander (dhania),,,,,,,,,,,,,,,,,,,,,,
Fansi Dhokli ( Healthy Subzi Recipe),2 tsp oil,1/2 tsp carom seeds (ajwain),1/4 tsp asafoetida (hing),1/2 tsp chilli powder,1 tsp coriander-cumin seeds (dhania-jeera) powder,1/2 tsp sugar, salt to taste,1/2 tbsp besan (bengal gram flour),2 tbsp besan (bengal gram flour),2 tbsp whole wheat flour (gehun ka atta),1/2 tsp chilli powder,1/4 tsp turmeric powder (haldi),1/4 tsp asafoetida (hing),1/4 tsp carom seeds (ajwain),1/2 tsp oil, salt to taste,2 tbsp finely chopped coriander (dhania),,,,,,,,,,,,,,,,,,,,,
Lapsi Methi Muthias,1/2 cup broken wheat (dalia),1/2 cup  finely chopped fenugreek (methi) leaves,1/4 cup bajra (black millet) flour,"2 cloves of garlic (lehsun), grated",1 tsp ginger-green chilli paste,1 tsp sugar,  a pinch of baking soda,1/8 tsp turmeric powder (haldi),2 tbsp low fat curds (dahi), salt to taste,1 tsp oil,1/2 tsp mustard seeds ( rai / sarson),  a pinch of asafoetida (hing),1 tbsp chopped coriander (dhania),,,,,,,,,,,,,,,,,,,,,,,,
Gujarati Suva Kadhi,1/4 cup chopped dill leaves  (shepu / suva bhaji),2 tbsp besan (bengal gram flour),2 cups curds (dahi),1 tsp ginger-green chilli paste,2 curry leaves (kadi patta),4 tsp sugar  (approx.), salt to taste,2 tsp oil,1/2 tsp cumin seeds (jeera),1/2 tsp mustard seeds ( rai / sarson), a pinch asafoetida (hing),"1 whole dry red chilli ,  broken into pieces",,,,,,,,,,,,,,,,,,,,,,,,,,
Masala Rotis (  Low Cholesterol),1 1/2 cups whole wheat flour (gehun ka atta),1/4 cup besan (bengal gram flour),1/2 cup low fat curds  (dahi),"3/4 cup boiled  ,  peeled and grated potatoes",1/4 cup boiled and coarsely crushed sweet corn kernels (makai ke dane),1/2 cup chopped spinach (palak),1/2 tsp turmeric powder (haldi),1 tsp green chilli paste,1 tsp oil, salt to taste, whole wheat flour (gehun ka atta) for rolling,3 tsp oil for cooking,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buckwheat, Moong and Vegetable Khichdi",1 1/2 cups buckwheat (kutto or kutti no daro),1/2 cup yellow moong dal (split yellow gram),"1 cup chopped and boiled mixed vegetables  (French beans, carrots, green peas, cauliflower)",1 tsp oil,2 black peppercorns (kalimirch),1 to 2 cloves (laung / lavang),1/2 tsp cumin seeds (jeera),1/4 tsp asafoetida (hing),1/4 tsp turmeric powder (haldi),2 tsp green chilli paste, salt to taste, Karela Kadhi / Low-fat Curds,,,,,,,,,,,,,,,,,,,,,,,,,,
Panch Dhan Khichdi,"1 cup long grained rice (basmati) , washed and drained","2 tbsp moong (whole green gram) , soaked for 8 hours and drained","2 tbsp masoor (whole red lentil) , soaked for 8 hours and drained","2 tbsp matki (moath beans) , soaked for 8 hours and drained","2 tbsp rajma (kidney beans) , soaked for 8 hours and drained","2 tbsp kabuli chana (white chick peas) , soaked for 8 hours and drained",1 tbsp oil,3/4 cup finely chopped onions,1/2 tsp garam masala,1/2 tsp chilli powder,2 tsp coriander-cumin seeds (dhania-jeera) powder,1/2 tsp turmeric powder (haldi), salt to taste,4 tbsp freshly grated coconut,2 tsp ginger-garlic (adrak-lehsun) paste,1/2 tbsp roughly chopped green chillies,2 tbsp finely chopped coriander (dhania), fresh curd,,,,,,,,,,,,,,,,,,,,
Cabbage Muthias,1 cup grated cabbage,1/2 cup jowar (white millet) flour,1/2 cup  leftover khichadi,2 to 3 tbsp curds (dahi),1 tbsp chopped coriander (dhania),1/2 tbsp lemon juice,1 tsp ginger-green chilli paste,1/2 tsp turmeric powder (haldi),  a pinch of baking soda,1 tbsp sugar, salt to taste, oil for greasing,2 tbsp chopped coriander (dhania) for garnishing,1 tsp cumin seeds (jeera),1/4 tsp asafoetida (hing),3 to 4 curry leaves (kadi patta),1 tbsp oil,,,,,,,,,,,,,,,,,,,,,
Karela Bateta Nu Shaak,"3 cups bitter gourd (karela) , peeled and cut into long strips",1 cup potatoes cubes, salt to taste,4 tbsp oil,1/2 tsp cumin seeds (jeera),1/2 tsp asafoetida (hing),1/4 tsp turmeric powder (haldi),1/2 cup chopped coriander (dhania),1/4 cup broken cashewnuts (kaju),2 tbsp sesame seeds (til),1 1/2 tbsp coriander-cumin seeds (dhania-jeera) powder,3/4 tbsp chilli powder,2 tbsp sugar,1/4 tsp dried mango powder (amchur),2 tbsp chopped coriander (dhania),,,,,,,,,,,,,,,,,,,,,,,
Vitamin Khichdi ( Protein Rich Recipe ),3/4 cup broken wheat (dalia),1/4 cup sprouted moong (whole green gram),1 1/2 tsp oil,2 cloves (laung / lavang),1 stick cinnamon (dalchini),2 cardamoms,1 bayleaf (tejpatta),2 tsp ginger-garlic (adrak-lehsun) paste,1 tsp green chilli paste,1/4 cup finely chopped onions,1/2 cup green peas,1/4 cup finely chopped tomatoes,2 tbsp low-fat curds, salt to taste,1/2 tsp turmeric powder (haldi),2 tsp garam masala,1 tsp oil,1/2 cup low-fat paneer cubes, freshly ground black pepper powder to taste, low-fat curds,,,,,,,,,,,,,,,,,,
Vaal Ni Dal No Pulao ( Gujarati Recipe),"1 1/2 cups sprouted vaal (field beans/ butter beans) , boiled",2 cups cooked rice (chawal),4 tbsp oil,2 cloves (laung / lavang),2 sticks cinnamon (dalchini),1 tbsp raisins (kismis), a pinch of asafoetida (hing),2 tsp finely chopped green chillies,1/4 tsp chilli powder, salt to taste,2 tbsp finely chopped coriander (dhania),2 tbsp freshly grated coconut, chaas,,,,,,,,,,,,,,,,,,,,,,,,,
Toovar Dal with Vegetables,"1/4 cup toovar (arhar) dal , soaked for 2 hours and drained", salt to taste,1/2 tsp turmeric powder (haldi),1/4 cup yam (suran) cubes,1 tbsp raw peanuts,"2 drumsticks , cut into 50 mm.  (2"") pieces",5 to 6 curry leaves (kadi patta),1 tbsp grated jaggery (gur),1 tbsp tamarind (imli) pulp,1 tsp ginger-green chilli paste,1 tbsp finely chopped coriander (dhania),1/4 cup ladies finger (bhindi)  (with edges trimmed),  rice, parathas,,,,,,,,,,,,,,,,,,,,,,,,
Buckwheat Dhoklas,1/2 cup buckwheat (kutto or kutti no daro),1/4 cup soya curds / low fat sour curds (khatta dahi)  (dahi),2 tsp ginger-chilli paste,2 tbsp ragi (nachni / red millet) flour,1/4 tsp fruit salt, salt to taste,1/4 tsp oil for greasing,1 tbsp chopped coriander (dhania),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Low Cal Chivda,1 cup beaten rice (poha),1 tsp  raw peanuts (optional),1/4 tsp mustard seeds ( rai / sarson),"2 green chillies, slit lengthwise",4 to 5 curry leaves (kadi patta),1 tbsp roasted chana dal (daria),  a pinch of asafoetida (hing),  a pinch of turmeric powder (haldi),1 tsp powdered sugar,1 tsp oil, salt to taste,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moong Dal Khichdi,3/4 cup uncooked rice (chawal),3/4 cup sprouted moong (whole green gram),2 to 3 pinches asafoetida (hing),1/4 tsp turmeric powder (haldi),2 tbsp ghee,2 tsp coriander-cumin seeds (dhania-jeera) powder,2 tsp sugar,1 tsp chilli powder,2 tbsp grated fresh coconut,2 tbsp chopped coriander (dhania), a pinch asafoetida (hing), salt to taste,,,,,,,,,,,,,,,,,,,,,,,,,,
Vatana Bateta No Rotlo ( Gujarati Recipe),"1 cup green peas ,  coarsely crushed","2 cups boiled , peeled and mashed potatoes",2 tbsp rice flour (chawal ka atta),2 tbsp lemon juice,2 tbsp ginger-green chilli paste,1/2 tsp sugar, salt to taste, oil for greasing, komal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamun Raita,1/2 cup deseeded and finely chopped ripe black jamuns,1 cup whisked low-fat curds, salt to taste,1/2 tsp roasted cumin seeds (jeera) powder,1 tbsp finely chopped coriander (dhania), a sprig of coriander (dhania),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Red Marinade, Basic Indian Pickle Recipe, Basic Achar Recipe",1/2 cup split fenugreek seeds (methi na kuria),1 tbsp split mustard seeds (rai na kuria),3 1/2 tsp lemon juice,6 tbsp mustard (rai / sarson) oil,2 tsp chilli powder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grated Amla Murabba,4  (100 grams) amlas (indian gooseberries),1/2 cup  (100 grams) sugar,  a few saffron (kesar) strands,1/8 tsp cardamom (elaichi) powder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Radish Koftas in Kadhi,1/2 cup grated radish (mooli),"1/2 cup yellow moong dal (split yellow gram) , soaked and drained",1 tsp ginger-green chilli paste,1/4 cup besan (bengal gram flour), salt to taste,1 cup low-fat curds (dahi),2 tbsp besan (bengal gram flour),1 tsp ginger-green chilli paste,1 tsp oil,1 tsp cumin seeds (jeera), a pinch of turmeric powder (haldi),1/4 tsp asafoetida (hing), salt to taste,2 tbsp chopped coriander (dhania),,,,,,,,,,,,,,,,,,,,,,,,
Anjeer Basundi,1/2 cup chopped dried figs (anjeer), a few saffron (kesar) strands,2 tbsp warm milk,4 1/2 cups full-fat milk,2 tbsp sugar,1/4 tsp cardamom (elaichi) powder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lavingya Paatra,10 baby colocassia leaves  (arbi ke patte),2 tsp oil,1/2 tsp cumin seeds (jeera),1 tsp sesame seeds (til), a pinch of asafoetida (hing),1 1/2 cups besan (bengal gram flour),4 tbsp whole wheat flour (gehun ka atta),3 tbsp curds (dahi),1 tbsp finely chopped coriander (dhania),1/2 tsp turmeric powder (haldi),1/2 tsp ginger-green chilli paste,1 tbsp sugar,1 tsp oil, salt to taste,,,,,,,,,,,,,,,,,,,,,,,,
Protein Packed Poha,1 1/2 cups jada poha (beaten rice),"1 1/2 cups boiled mixed sprouts (moth beans, moong, red chana)",1/2 tsp mustard seeds ( rai / sarson),3/4 cup  finely chopped onions,"1 to 2 green chillies, chopped",1/4 tsp turmeric powder (haldi),2 tsp sugar,3 tsp lemon juice,1 tsp oil, salt to taste,2 tbsp chopped coriander (dhania),,,,,,,,,,,,,,,,,,,,,,,,,,,
Turia Dhokli,1/4 cup whole wheat flour (gehun ka atta),1 tbsp besan (bengal gram flour),1/4 tsp chilli powder, a pinch of turmeric powder (haldi),1/2 tbsp oil,1/2 tbsp chopped coriander (dhania), salt to taste, whole wheat flour (gehun ka atta) for rolling,1 1/2 cups chopped ridge gourd (turai) cubes,1/4 tsp asafoetida (hing),1/4 tsp turmeric powder (haldi),1/2 tsp chilli powder,1/2 tsp ginger-green chilli paste,1/2 tsp sugar,1 tsp oil, salt to taste,,,,,,,,,,,,,,,,,,,,,,
Teen Ratna Dal,1/4 cup chana dal (split bengal gram),1/4 cup green moong dal (split  green gram),1/4 cup toovar (arhar) dal,1 slit green chilli,1/2 tsp finely chopped ginger (adrak),1/2 tsp finely chopped garlic (lehsun), a pinch of turmeric powder (haldi), salt to taste,2 tsp oil,1/2 tsp cumin seeds (jeera),2 cardamoms,2 cloves (laung / lavang),1/4 tsp freshly ground black pepper (kalimirch), a pinch of asafoetida (hing),"1 whole dry kashmiri red chilli , broken into pieces",1/2 cup finely chopped onions,2 to 3 drops of lemon juice,2 tbsp finely chopped coriander (dhania),,,,,,,,,,,,,,,,,,,,
Karela Kadhi,1/4 cup finely chopped bitter gourd (karela),1 cup low-fat curds (dahi),2 tbsp besan (bengal gram flour),1 tsp oil,1/2 cup finely chopped onions,1 tsp ginger-green chilli paste, salt to taste,2 tbsp finely chopped coriander (dhania),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chana Dal with Cucumber,3/4 cup chana dal (split Bengal gram),1/2 cup  finely chopped cucumber,1 tsp cumin seeds (jeera),1 tsp ginger-green chilli paste,  a pinch of turmeric powder (haldi),1/2 tsp chilli powder,1 tsp oil, salt to taste,1 tbsp chopped coriander (dhania),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green Pea Pankis,1/3 cup rice flour (chawal ka atta),1 tbsp urad dal (split black lentil) flour,1 tsp low fat curds (dahi),"1 to 2 green chillies, finely chopped","1/4 cup green peas, coarsely ground",2 tbsp chopped coriander (dhania),"1/2 tsp cumin seeds (jeera), crushed", salt to taste,3 banana leaves (kele ka patta),1 tsp oil for greasing, Mint and Coriander Chutney,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nachni Khichu,2 cups ragi (nachni / red millet) flour,1/4 cup low fat curds  (dahi) / soya curds,1 tsp cumin seeds (jeera),1/2 tsp chilli powder,1/4 tsp asafoetida (hing),1/2 tsp finely chopped green chillies,2 tbsp chopped coriander (dhania),1 tsp oil  (optional), salt to taste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bajra Khakhras,1/2 cup bajra (black millet) flour,2 tbsp whole wheat flour (gehun ka atta),1/2 tsp ginger-garlic (adrak-lehsun) paste,"1/4 tsp green chillies, finely chopped",1/2 tsp sesame seeds (til),1/4 tsp turmeric powder (haldi),1 tsp oil, ghee for cooking, salt to taste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Green Peas Dhokla, Microwave Dhokla Recipe",1/4 cup boiled and coarsely crushed green peas,1/2 cup besan (bengal gram flour),1 tsp ginger-green chilli paste,1 tbsp powdered sugar,1/2 tsp lemon juice, salt to taste,3/4 tsp fruit salt,1 tbsp oil,1 tsp mustard seeds ( rai / sarson),1/2 tsp finely chopped green chillies, a pinch of asafoetida (hing),1 tbsp finely chopped coriander (dhania),1 tbsp grated coconut, green chutney,,,,,,,,,,,,,,,,,,,,,,,,
Vatana Muthia Nu Shaak ( Gujarati Recipe),2 cups green peas,"1 cup palak methi na muthia ,  cut into cubes",2 tbsp oil,1/4 tsp mustard seeds ( rai / sarson),1/4 tsp asafoetida (hing), a pinch soda bi-carb,1 tsp sugar,1 recipe coconut-coriander masala,2 tbsp finely chopped coriander (dhania),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rice Khichu ( Pressure Cooker ),"1/2 tsp cumin seeds (jeera) , coarsely ground",1 tsp sesame seeds (til),1/2 tsp carom seeds (ajwain),1/2 tsp finely chopped green chillies, a pinch baking soda, salt to taste,1 cup rice flour (chawal ka atta),2 tbsp oil,1 tbsp finely chopped garlic (lehsun),1 tsp chilli powder,1 tbsp finely chopped coriander (dhania),,,,,,,,,,,,,,,,,,,,,,,,,,,
Jowar Khichu ( Microwave Recipe),1 cup jowar (white millet) flour,1 1/2 cups water,1 tsp ginger-green chilli paste,1 large clove grated garlic (lehsun),1 tsp sesame seeds (til),1 tsp curds (dahi),1 tsp oil, salt to taste,1 tbsp chopped coriander (dhania),1 tsp sesame (til) oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cauliflower Bhanolu ( Microwave Recipe),1 1/2 cups coconut milk,6 tbsp besan (bengal gram flour),1 1/4 cups finely chopped cauliflower florets,1 tbsp ginger-green chilli paste,1 tsp sugar,1 tsp lemon juice, salt to taste,3 1/4 tsp oil for greasing and tempering,1/2 tsp mustard seeds,1/2 tsp cumin seeds (jeera),1/4 tsp asafoetida (hing),,,,,,,,,,,,,,,,,,,,,,,,,,,
Palak Methi Dhokla,1 cup chola dal (split cow peas),1/2 cup chopped spinach (palak),1/2 cup chopped fenugreek (methi) leaves,1 tbsp oil,1 tsp green chilli paste,1/4 tsp asafoetida (hing), salt to taste,1 tsp fruit salt, green chutney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buckwheat Dhokla, Faraal Buckwheat Dhokla",1 1/4 cups buckwheat (kuttu or kutti no daro),1/4 cup curds (dahi),1 tsp green chilli paste,1/4 tsp ginger (adrak) paste, salt to taste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buckwheat Dhokla, Kutto na Dhokla",1 1/4 cups buckwheat (kuttu or kutti no daro),1/4 cup curds (dahi),1/2 tsp green chilli paste,1/4 tsp ginger (adrak) paste, salt to taste, minty green chutney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crispy Karela,2 cups sliced bitter gourd (karela),1/4 cup grated jaggery (gur),1 tbsp oil,1/2 tsp cumin seeds (jeera),1/4 tsp asafoetida (hing),1/4 tsp turmeric powder (haldi),2 tbsp broken cashewnuts (kaju),1 1/2 tsp poppy seeds (khus-khus),1/2 tsp sesame seeds (til),1 tbsp raisins (kismis), salt to taste, oil for deep-frying,,,,,,,,,,,,,,,,,,,,,,,,,,
Garam Golpapdi,1 cup whole wheat flour (gehun ka atta),1 tsp poppy seeds (khus-khus),1/2 cup grated jaggery (gur),3 tbsp milk,1/4 tsp cardamom (elaichi) powder,1/2 cup ghee,4 tsp almonds slivers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amiri Khaman ( Non - Fried Snacks ),1 tbsp oil,2 tsp mustard seeds ( rai / sarson),2 tsp finely chopped garlic (lehsun),1/4 tsp asafoetida (hing),2 tbsp pomegranate seeds (anardana),2 tbsp chopped coriander (dhania),2 tbsp freshly grated coconut,3 tbsp sev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Radish Moong Dal Chilas ( Iron Rich Recipe ),"3/4 cup green moong dal (split  green gram) , with skin",3/4 tsp finely chopped green chillies,2 tbsp fresh low-fat curds (dahi),"1 1/3 cups radish leaves (mooli ke patte) , finely chopped",1 tbsp besan (bengal gram flour), a pinch asafoetida (hing), salt to taste,4 tsp sesame seeds (til),1 3/4 tsp oil for greasing and cooking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rajma Dhokla ( Non-fried Snacks ),1 1/2 cups chopped spinach (palak),1/2 cup chopped coriander (dhania),"1 slit green chilli , roughly chopped", salt to taste,1/4 cup rajma (kidney beans),2 tsp ginger- green chilli paste, a pinch of sugar, salt to taste,1 1/2 tsp fruit salt,1/2 tsp oil for greasing,1/4 cup grated paneer (cottage cheese) for the topping,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sev Tameta,3 cups chopped tomatoes,1/2 tsp cumin seeds (jeera),1/2 tsp asafoetida (hing),1/2 tsp chopped ginger,1/2 tsp turmeric powder (haldi),1 1/2 tsp coriander-cumin seeds (dhania-jeera) powder,1 tsp sugar,1 1/2 cups thick sev,2 tbsp oil, salt to taste,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baked Oondhiya,3/4 cup chopped coriander (dhania),4 green chillies,1 tsp lemon juice,10 garlic (lehsun) cloves  (lehsun),2 tsp chilli powder,3/4 cup jaggery (gur),1/2 cup tamarind (imli),1/2 tsp chilli powder, salt to taste,750 gms surti papdi (fresh vaal),500 gms purple yam (kand),250 gms potatoes,250 gms sweet potato (shakarkand),2 to 3 brinjal (baingan / eggplant),1 tsp carom seeds (ajwain),1 tsp ginger - green chilli paste,1/4 tsp baking soda,1 to 2 tbsp oil, lettuce leaves, salt to taste," green chutney ,  garlic chutney ,  sweet and sour sauce ,  sev and oil (optional) to serve",,,,,,,,,,,,,,,,,
Palak Methi Puris,1/2 cup chopped spinach (palak),1/4 cup chopped fenugreek (methi) leaves,1/4 cup jowar (white millet) flour,1/4 cup bajra (black millet) flour,2 tbsp whole wheat flour (gehun ka atta),1 tsp ginger-green chilli paste,1 tsp oil, salt to taste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pineapple Basundi,3/4 cup freshly grated pineapple,1 tsp sugar,4 1/2 cups full-fat milk,1/4 tsp saffron (kesar) strands,2 tbsp warm full-fat milk,5 tbsp sugar,1/2 tsp cardamom (elaichi) powder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panki ( Microwave Recipe),1/3 cup rice flour (chawal ka atta),1 tbsp urad dal (split black lentil) flour,1 tsp curds (dahi),"2 green chillies , finely chopped",1/2 tsp cumin seeds (jeera) powder,1 tsp oil, salt to taste, oil for greasing,2 to 3 banana leaves (kele ka patta), green chutney,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mixed Dal in A Microwave,2 tbsp green moong dal (split  green gram),2 tbsp masoor dal (split red lentil),2 tbsp urad dal (split black lentils), salt to taste,1/2 tsp turmeric powder (haldi),4 tbsp butter,1 tsp cumin seeds (jeera),3/4 cup finely chopped tomatoes,1/2 cup finely chopped onions,1 1/2 tsp chopped green chillies,2 tsp chopped ginger (adrak),1 tsp chilli powder,4 tbsp chopped coriander (dhania),,,,,,,,,,,,,,,,,,,,,,,,,
Chhuta Moong Dal,"1 cup yellow moong dal (split yellow gram) , soaked in hot for 2 hours and drained",2 tsp oil,1 tsp cumin seeds (jeera),1/4 tsp asafoetida (hing),1/4 tsp turmeric powder (haldi),2 tsp coriander-cumin seeds (dhania-jeera) powder,1 tsp chilli powder, salt to taste,1 tbsp finely chopped coriander (dhania),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cauliflower Vatana Nu Shaak, Gobi Vatana Subzi",3 cups cauliflower florets,1 cup green peas,2 tbsp oil,1 tsp cumin seeds (jeera),1/4 tsp asafoetida (hing),1/4 tsp turmeric powder (haldi), salt to taste,1 tsp chilli powder,2 tsp coriander-cumin seeds (dhania-jeera) powder,2 tbsp chopped coriander (dhania),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soya Methi Theplas,1/2 cup whole wheat flour (gehun ka atta),1/4 cup soya flour,1/4 cup finely chopped fenugreek (methi) leaves,2 tbsp fresh curds (dahi),1/2 tsp turmeric powder (haldi),3/4 tsp chilli powder, salt to taste,1/4 tsp soya oil for kneading, whole wheat flour (gehun ka atta) for rolling,2 tsp soya oil for cooking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coconut -  Coriander Masala,1 cup freshly grated coconut,1/2 cup finely chopped coriander (dhania),1/3 cup finely chopped green garlic (hara lehsun),1 tbsp coriander-cumin seeds (dhania-jeera) powder,2 tsp ginger-green chilli paste,1 1/2 tsp chilli powder,1 tbsp sugar,1 tbsp lemon juice, salt to taste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pesto Dhokla, Basil and Walnut Rava Dhokla",1/2 cup chopped basil leaves,2 tbsp roughly chopped walnuts (akhrot),1 tbsp olive oil,1 tsp roughly chopped garlic (lehsun),1 tsp lemon juice,1 1/2 cups semolina (rava),1/2 cup curds (dahi),1 1/2 tsp green chilli paste,1 tbsp oil, salt to taste,1 1/2 tsp fruit salt, green chutney,,,,,,,,,,,,,,,,,,,,,,,,,,
Dabeli Bhajiya,2 tbsp dabeli masala,1 tbsp oil,1/2 cup finely chopped onions,1/2 tsp chilli powder,1/4 cup khajur imli ki chutney,1 tbsp garlic chutney,"2 cups boiled , peeled and mashed potatoes",1 tsp lemon juice, salt to taste,1/4 cup masala peanuts,35 fresh bread slices, oil for deep-frying, garlic chutney, khajur imli ki chutney,,,,,,,,,,,,,,,,,,,,,,,,
"Lilva Kachori, Winter Fresh Toovar Kachori",1 cup plain flour (maida),2 1/2 tbsp melted ghee, salt to taste,1 cup fresh toovar,1 cup fresh green peas,1 tbsp oil,1/4 tsp asafoetida (hing), a pinch of turmeric powder (haldi),1/2 tbsp ginger (adrak) paste,1 tbsp green chilli paste,1/4 cup finely chopped coriander (dhania),1 tbsp lemon juice,1/2 tbsp sugar, salt to taste, oil for deep-frying, green garlic chutney,,,,,,,,,,,,,,,,,,,,,,
"Gujarati Raw Papaya Chutney, Kacha Papaya Sambharo",1 cup thickly grated raw papaya,1 tbsp oil,1 tsp mustard seeds ( rai / sarson), a pinch of asafoetida (hing),"8 green chillies  ,  slit",6 curry leaves (kadi patta),1/4 tsp turmeric powder (haldi),1 tbsp besan (bengal gram flour), salt to taste, samosa, kachori,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Multigrain Methi Thepla, Breakfast Recipe",1 cup whole wheat flour (gehun ka atta),2 tbsp bajra (black millet) flour,2 tbsp jowar (white millet) flour,2 tbsp ragi (nachni / red millet) flour,1/2 cup finely chopped fenugreek (methi) leaves,2 tsp sesame seeds (til),1 tbsp honey,1/2 tsp ginger-green chilli paste,1 tbsp oil,1 tsp flax seeds, salt to taste, whole wheat flour (gehun ka atta) for rolling, oil for cooking,,,,,,,,,,,,,,,,,,,,,,,,,
"Bajra Dhebra Recipe, Gujarati Tea-time Snack",1 1/2 bajra (black millet) flour,1/4 cup whole wheat flour (gehun ka atta),3/4 cup finely chopped fenugreek (methi),2 tbsp grated jaggery (gur),1/4 cup curd (dahi),1/2 tsp ginger (adrak) paste,1 tsp green chilli paste,1 tsp garlic (lehsun) paste,1/2 turmeric powder (haldi),1/2 tsp red chilli powder,1/2 tsp coriander (dhania) powder,1 1/2 tbsp sesame seeds (til),1 tbsp oil, salt to taste,,,,,,,,,,,,,,,,,,,,,,,,
Zero Oil Purple Mogri Raita,1/2 cup chopped purple radish pods (mogri),1 cup whisked curds (dahi),1 tbsp finely chopped coriander (dhania),1/2 tsp cumin seeds (jeera) powder,1/4 tsp black salt (sanchal),1/2 tsp chilli powder,1/4 tsp mustard (rai / sarson) powder, salt to taste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zero Oil Green Mogri Raita,1/2 cup chopped green radish pods (mogri),1 cup whisked curds (dahi),1/2 tsp cumin seeds (jeera) powder,1/4 tsp black salt (sanchal),1/4 tsp chilli powder, salt to taste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple Mogri Raita,1/2 cup chopped purple radish pods (mogri),1 cup whisked curds (dahi),1 tbsp finely chopped coriander (dhania),1/2 tsp cumin seeds (jeera) powder,1/4 tsp black salt (sanchal),1/2 tsp chilli powder,1/4 tsp mustard (rai / sarson) powder, salt to taste,1 1/2 tsp oil,1/2 tsp mustard seeds ( rai / sarson),1/4 tsp asafoetida (hing),,,,,,,,,,,,,,,,,,,,,,,,,,,
Rasagoolla Mango Marvel,"12 Rasgullas, cut into halves",1/2 ltr milk,5 gms sugar rite or 3 tbsp sugar,  a few drops of rose essence or kewda essence or prepared saffron (kesar) strands,"1 alphonso mango, chopped",1 tbsp chopped pistachios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
